borough_id,nbhd,name,transaction_volume,property_count,average_sale_price,year
1,TRIBECA,Manhattan,520,510,3027382.633,2015
1,UPPER EAST SIDE (59-79),Manhattan,1903,831,2802138.954,2015
1,UPPER EAST SIDE (79-96),Manhattan,1404,802,2439779.715,2015
1,UPPER EAST SIDE (96-110),Manhattan,47,30,2372980.106,2015
1,UPPER EAST SIDE,Manhattan,1118,554.3333333,2538299.592,2015
1,UPPER WEST SIDE (59-79),Manhattan,1364,823,3023110.001,2015
1,UPPER WEST SIDE (79-96),Manhattan,815,486,3059157.047,2015
1,UPPER WEST SIDE (96-116),Manhattan,337,171,2195236.635,2015
1,UPPER WEST SIDE,Manhattan,838.6666667,493.3333333,2759167.894,2015
2,VAN CORTLANDT PARK, Bronx,4,2,320411,2015
2,WAKEFIELD, Bronx,162,155,596598.9074,2015
1,WASHINGTON HEIGHTS LOWER,Manhattan,158,119,3049034.532,2015
1,WASHINGTON HEIGHTS UPPER,Manhattan,305,104,1408241.348,2015
1,WASHINGTON HEIGHTS,Manhattan,231.5,111.5,2228637.94,2015
5,WEST NEW BRIGHTON,Staten Island,164,153,366756.8841,2015
2,WESTCHESTER SQUARE, Bronx,99,94,817808.6465,2015
5,WESTERLEIGH,Staten Island,138,134,466078.942,2015
4,WHITESTONE,Queens,272,192,701020.4853,2015
2,WILLIAMSBRIDGE, Bronx,255,226,656808.0353,2015
3,WILLIAMSBURG-CENTRAL,Brooklyn,74,74,844465.2297,2015
3,WILLIAMSBURG-EAST,Brooklyn,281,276,1900522.996,2015
3,WILLIAMSBURG-NORTH,Brooklyn,291,285,3645823.464,2015
3,WILLIAMSBURG-SOUTH,Brooklyn,212,208,1203619.514,2015
3,WILLIAMSBURG,Brooklyn,214.5,210.75,1898607.801,2015
5,WILLOWBROOK,Staten Island,112,111,469988.2768,2015
3,WINDSOR TERRACE,Brooklyn,124,80,930847.8145,2015
4,WOODHAVEN,Queens,263,246,542369.1787,2015
2,WOODLAWN, Bronx,67,55,391162.6418,2015
5,WOODROW,Staten Island,69,69,494277.8696,2015
4,WOODSIDE,Queens,263,146,717276.7719,2015
3,WYCKOFF HEIGHTS,Brooklyn,97,96,2382701.608,2015
