borough_id,region_name,name,transaction_volume,property_count,average_sale_price
1,HARLEM,Manhattan,495,434,1964246.305
1,EAST HARLEM,Manhattan,115,105,2477593.296
1,HARLEM-UPPER,Manhattan,125,110,2437178.504
1,HARLEM-WEST,Manhattan,23,18,4657431.391
2,HIGHBRIDGE,Bronx,123,103,1176337.39
2,MORRIS HEIGHTS,Bronx,123,103,1176337.39
4,HILLCREST,Queens,81,50,567980.3704
4,HOLLIS,Queens,295,278,698495.7017
4,HOLLIS HILLS,Queens,42,28,733211.619
4,HOLLISWOOD,Queens,85,42,527522.1529
4,HOWARD BEACH,Queens,374,253,407251.5963
5,HUGUENOT,Staten Island,98,98,746903.3163
